0.1,0.2,0,-0.1,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0
0.2,0.1,0.1,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0
0,0.1,0.2,0.1,0,0.1,0,0.1,0,0,0,0,0,0,0,0
0.1,0,0.1,0.2,0.1,0,0.1,0,0.1,0,0,0,0,0,0,0
0.5,0.1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
0.1,0.5,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0
0,0.1,0.5,0,0,0,0,0.2,0,0,0,0,0,0,0,0
0,0,0.1,0.5,0,0,0,0,0.2,0,0,0,0,0,0,0
0.05,0.1,0,-0.05,0.05,0.03,0,0.03,0,0,0,0,0,0,0,0
0.1,0.05,0.05,0,0,0,0.03,0,0.03,0,0,0,0,0,0,0
0,0.05,0.1,0.05,0,0.03,0,0.03,0,0,0,0,0,0,0,0
0.05,0,0.05,0.1,0.05,0,0.03,0,0.03,0,0,0,0,0,0,0
0.08,0.16,0,-0.08,0.08,0.04,0,0.04,0,0,0,0,0,0,0,0
0.16,0.08,0.08,0,0,0,0.04,0,0.04,0,0,0,0,0,0,0
0,0.08,0.16,0.08,0,0.04,0,0.04,0,0,0,0,0,0,0,0
0.08,0,0.08,0.16,0.08,0,0.04,0,0.04,0,0,0,0,0,0,0
